provider,n_trading_days,total_return_pct,annualized_return_pct,annualized_vol_pct,sharpe,max_drawdown_pct,cumulative_pnl_usd
Yahoo,2110,224.839,15.068,18.971,0.794,-33.354,2248390.0
Stooq,2110,210.682,14.459,19.013,0.76,-33.106,2106825.0
