date,yahoo_close,yahoo_adj_close,yahoo_adj_factor,stooq_close,stooq_adj_close,stooq_adj_factor,discrepancy,z_score
2018-01-02,59.45050048828125,59.45050048828125,0.2240962666266959,59.45,59.45,0.22408171726880383,1.4549357892079673e-05,-0.7968680186604055
2018-01-03,60.209999084472656,60.209999084472656,0.2269591659886325,60.21,60.21,0.2269463447729971,1.2821215635394623e-05,-0.8761923495033286
2018-01-04,60.47949981689453,60.47949981689453,0.22797503814265763,60.482,60.482,0.22797157987976102,3.4582628966051132e-06,-1.305965973662644
2018-01-05,61.457000732421875,61.457000732421875,0.23165968846510587,61.457,61.457,0.23164659542790372,1.3093037202149826e-05,-0.8637153304337919
2018-01-08,62.34349822998047,62.34349822998047,0.23500130506959432,62.3435,62.3435,0.23498803264167656,1.3272427917765395e-05,-0.8554810265617632
2018-01-09,62.6349983215332,62.6349983215332,0.23610010292161887,62.635,62.635,0.23608676805940332,1.333486221555269e-05,-0.8526151983150048
2018-01-10,62.71649932861328,62.71649932861328,0.23640731768453851,62.7165,62.7165,0.2363939616667609,1.3356017777604867e-05,-0.8516441261727067
2018-01-11,63.83399963378906,63.83399963378906,0.24061969006639003,63.834,63.834,0.24060609487193985,1.3595194450183312e-05,-0.8406655568841369
2018-01-12,65.26000213623047,65.26000213623047,0.24599494905282088,65.26,65.26,0.24598104068901833,1.390836380255056e-05,-0.8262906122168525
2018-01-16,65.24299621582031,65.24299621582031,0.2459308459209184,65.243,65.243,0.24591696349484554,1.3882426072864273e-05,-0.8274811930518448
2018-01-17,64.75,64.75,0.2440725165457402,64.75,64.75,0.24405872486383595,1.3791681904240516e-05,-0.8316464869830196
2018-01-18,64.66600036621094,64.66600036621094,0.24375588331009823,64.666,64.666,0.24374210813968827,1.3775170409957571e-05,-0.8324043894242941
2018-01-19,64.72899627685547,64.72899627685547,0.24399334385748203,64.729,64.729,0.24397957068279905,1.3773174682985001e-05,-0.8324959962963742
2018-01-22,66.3655014038086,66.3655014038086,0.2501620840069099,66.3655,66.3655,0.2501479429336047,1.4141073305218299e-05,-0.8156088957617981
2018-01-23,68.12699890136719,68.12699890136719,0.2568019778620165,68.127,68.127,0.25678747102391586,1.450683810061415e-05,-0.7988197410909726
2018-01-24,67.87550354003906,67.87550354003906,0.2558539762289827,67.8755,67.8755,0.25583950547483086,1.4470754151840737e-05,-0.800476048654513
2018-01-25,68.89749908447266,68.89749908447266,0.2597063472626266,68.8975,68.8975,0.2596916756186276,1.4671643998986905e-05,-0.7912549022839738
2018-01-26,70.10250091552734,70.10250091552734,0.264248553121279,70.1025,70.1025,0.26423361791146044,1.4935209818545125e-05,-0.7791568344376225
2018-01-29,70.88400268554688,70.88400268554688,0.26719439256056265,70.884,70.884,0.2671792842200486,1.5108340514047303e-05,-0.771209874911603
2018-01-30,71.89099884033203,71.89099884033203,0.27099022399917727,71.891,71.891,0.2709749156631047,1.5308336072550333e-05,-0.7620297777358988
2018-01-31,72.54450225830078,72.54450225830078,0.27345357880682014,72.5445,72.5445,0.27343811839203935,1.5460414780787968e-05,-0.7550491361135204
2018-02-01,69.5,69.5,0.2619774501919528,69.5,69.5,0.261962646765044,1.4803426908793771e-05,-0.7852058683595241
2018-02-02,71.49749755859375,71.49749755859375,0.26950693676986703,71.4975,71.4975,0.2694917170803415,1.5219689525558522e-05,-0.7660987876767527
2018-02-05,69.5,69.5,0.2619774501919528,69.5,69.5,0.261962646765044,1.4803426908793771e-05,-0.7852058683595241
2018-02-06,72.14199829101562,72.14199829101562,0.27193635631701424,72.142,72.142,0.2719209965888317,1.535972818256237e-05,-0.7596708025291177
2018-02-07,70.83899688720703,70.83899688720703,0.26702474501677953,70.7575,70.7575,0.266702474510469,0.0003222705063105069,13.327995886543084
2018-02-08,67.5250015258789,67.5250015258789,0.2545327730065824,67.525,67.525,0.2545183845008575,1.4388505724882705e-05,-0.804251375255139
2018-02-09,66.9800033569336,66.9800033569336,0.2524784243639986,66.98,66.98,0.25246414504061365,1.4279323384935871e-05,-0.8092630090038332
2018-02-12,69.3115005493164,69.3115005493164,0.26126690910630285,69.3665,69.3665,0.26145945232845214,0.00019254322214928843,7.373318273429304
2018-02-13,70.72550201416016,70.72550201416016,0.2665969306649712,70.7255,70.7255,0.26658185861555567,1.5072049415532085e-05,-0.7728756909601014
2018-02-14,72.55249786376953,72.55249786376953,0.2734837179195316,72.5525,72.5525,0.27346827236576765,1.5445553763926423e-05,-0.7557312791567955
2018-02-15,73.08799743652344,73.08799743652344,0.2755022619864229,73.088,73.088,0.27548670398220915,1.5558004213767074e-05,-0.7505696342447001
2018-02-16,72.43450164794922,72.43450164794922,0.27303893593747536,72.4345,72.4345,0.2730235012532745,1.5434684200843485e-05,-0.7562302084635546
2018-02-20,73.4175033569336,73.4175033569336,0.2767443212792604,73.418,73.418,0.2767305553985036,1.3765880756799742e-05,-0.8328307984873542
2018-02-21,74.14600372314453,74.14600372314453,0.2794903740620495,74.146,74.146,0.2794745670077835,1.580705426601492e-05,-0.7391378619675434
2018-02-22,74.26699829101562,74.26699829101562,0.2799464582113725,74.267,74.267,0.27993064586042476,1.5812350947719267e-05,-0.7388947363045605
2018-02-23,75.0,75.0,0.2827094786244095,75.0,75.0,0.2826935037032849,1.59749211245952e-05,-0.7314325204795532
2018-02-26,76.09750366210938,76.09750366210938,0.2868464744657871,76.0975,76.0975,0.28683025197414297,1.622249164412448e-05,-0.7200686609812236
2018-02-27,75.5989990234375,75.5989990234375,0.28496738131257676,75.599,75.599,0.28495128248619517,1.609882638159421e-05,-0.7257450826767067
2018-02-28,75.62249755859375,75.62249755859375,0.2850559580942096,75.6225,75.6225,0.2850398597840222,1.6098310187395715e-05,-0.7257687767674115
2018-03-01,74.67250061035156,74.67250061035156,0.2814749828684452,74.6725,74.6725,0.28145907540378057,1.5907464664621784e-05,-0.7345288735301914
2018-03-02,75.01249694824219,75.01249694824219,0.28275658536736875,75.0125,75.0125,0.28274061928723543,1.596608013332279e-05,-0.7318383352867306
2018-03-05,76.18049621582031,76.18049621582031,0.2871593115536448,76.1805,76.1805,0.28714309945157457,1.6212102070256584e-05,-0.7205455580605155
2018-03-06,76.88200378417969,76.88200378417969,0.28980361607233757,76.882,76.882,0.2897872260228793,1.6390049458248068e-05,-0.7123775050989802
2018-03-07,77.25,77.25,0.2911907629831418,77.25,77.25,0.29117430881438344,1.6454168758339716e-05,-0.7094343327101267
2018-03-08,77.59300231933594,77.59300231933594,0.29248369640802746,77.593,77.593,0.2924671604379865,1.6535970040976178e-05,-0.7056795307069182
2018-03-09,78.94450378417969,78.94450378417969,0.2975781267345088,78.9445,78.9445,0.29756129737471965,1.682935978913891e-05,-0.6922124996455837
2018-03-12,79.91950225830078,79.91950225830078,0.3012533442048871,79.9195,79.9195,0.30123631292286235,1.7031282024737582e-05,-0.6829439650910867
2018-03-13,79.40899658203125,79.40899658203125,0.2993290136239143,79.409,79.409,0.29931211247432205,1.6901149592241094e-05,-0.6889172396226331
2018-03-14,79.55000305175781,79.55000305175781,0.2998605318311018,79.55,79.55,0.29984357626128416,1.6955569817622695e-05,-0.6864192693623622
2018-03-15,79.11599731445312,79.11599731445312,0.2982245646882563,79.116,79.116,0.29820772318652117,1.6841501735143094e-05,-0.6916551660475034
2018-03-16,78.58399963378906,78.58399963378906,0.2962192208625239,78.584,78.584,0.2962024839335859,1.6736928937999274e-05,-0.6964552148430917
2018-03-19,77.24649810791016,77.24649810791016,0.29117756274198286,77.2465,77.2465,0.2911611164508773,1.6446291105587374e-05,-0.7097959288291819
2018-03-20,79.32550048828125,79.32550048828125,0.29901427846216444,79.3255,79.3255,0.29899738037353235,1.689808863208908e-05,-0.6890577423010763
2018-03-21,79.09300231933594,79.09300231933594,0.29813788598051566,79.093,79.093,0.2981210305120522,1.6855468463472523e-05,-0.6910140721939673
2018-03-22,77.24600219726562,77.24600219726562,0.29117569342678606,77.246,77.246,0.29115923182751924,1.6461599266826e-05,-0.7090932611859411
2018-03-23,74.77799987792969,74.77799987792969,0.2818726581075421,74.778,74.778,0.28185673093232316,1.592717521892162e-05,-0.7336241294188028
2018-03-26,77.79299926757812,77.79299926757812,0.29323757684754775,77.793,77.793,0.29322100978119525,1.6567066352501936e-05,-0.7042521632006139
2018-03-27,74.85250091552734,74.85250091552734,0.2821534867674916,74.8525,74.8525,0.2821375398126685,1.594695482309838e-05,-0.732716215814127
2018-03-28,71.57099914550781,71.57099914550781,0.2697839980407276,71.571,71.571,0.2697687567139707,1.5241326756898488e-05,-0.7651056061891194
2018-03-29,72.36699676513672,72.36699676513672,0.2727844790011484,72.367,72.367,0.2727690770999416,1.540190120680185e-05,-0.7577349972361922
2018-04-02,68.59950256347656,68.59950256347656,0.25858306138152404,68.5995,68.5995,0.25856844009724655,1.4621284277482882e-05,-0.7935664893042492
2018-04-03,69.60250091552734,69.60250091552734,0.26236382326378294,69.6025,69.6025,0.2623489945534385,1.4828710344416685e-05,-0.7840453206069075
2018-04-04,70.52850341796875,70.52850341796875,0.2658543523927177,70.5285,70.5285,0.265839317012495,1.5035380222683248e-05,-0.7745588621076339
2018-04-05,72.5875015258789,72.5875015258789,0.27361566281373007,72.5875,72.5875,0.27360019600082924,1.5466812900821747e-05,-0.7547554527732925
2018-04-06,70.2614974975586,70.2614974975586,0.26484788433206724,70.2615,70.2615,0.26483292813931136,1.4956192755877229e-05,-0.7781936860298166
2018-04-09,70.30400085449219,70.30400085449219,0.2650080990237803,70.304,70.304,0.2649931211247432,1.4977899037094122e-05,-0.7771973350488961
2018-04-10,71.81099700927734,71.81099700927734,0.27068866031989103,71.811,71.811,0.27067337592582125,1.5284394069781104e-05,-0.763128751701359
2018-04-11,71.35250091552734,71.35250091552734,0.26896037776501913,71.3525,71.3525,0.26894517630651515,1.520145850397725e-05,-0.766935619009314
2018-04-12,72.42500305175781,72.42500305175781,0.2730031313617829,72.425,72.425,0.2729876934094721,1.5437952310792813e-05,-0.7560801972976053
2018-04-13,71.53949737548828,71.53949737548828,0.26966525338768804,71.5395,71.5395,0.26965002544241534,1.5227945272699994e-05,-0.7657198364561153
2018-04-16,72.07499694824219,72.07499694824219,0.2716837974545794,72.075,72.075,0.2716684570588568,1.5340395722596156e-05,-0.760558191541472
2018-04-17,75.19149780273438,75.19149780273438,0.2834313218773262,75.1915,75.1915,0.2834153144494073,1.600742791890708e-05,-0.729940409690257
2018-04-18,76.39199829101562,76.39199829101562,0.2879565601057308,76.392,76.392,0.28794029513201785,1.6264973712931674e-05,-0.7181186700774552
2018-04-19,77.84549713134766,77.84549713134766,0.29343546543015014,77.8455,77.8455,0.2934188952337875,1.6570196362641898e-05,-0.7041084910237873
2018-04-20,76.37449645996094,76.37449645996094,0.2878905876586315,76.3745,76.3745,0.2878743333144871,1.62543441444285e-05,-0.7186065832717548
2018-04-23,75.89299774169922,75.89299774169922,0.28607559763732365,75.893,75.893,0.286059441020712,1.615661661164003e-05,-0.7230924241296977
2018-04-24,73.00450134277344,73.00450134277344,0.27518752682467307,73.0045,73.0045,0.27517197188141945,1.555494325361506e-05,-0.7507101369231435
2018-04-25,73.00849914550781,73.00849914550781,0.2752025963810288,73.0085,73.0085,0.27518704886828366,1.5547512745128778e-05,-0.7510512084473291
2018-04-26,75.89800262451172,75.89800262451172,0.2860944633414636,75.898,75.898,0.2860782872542922,1.617608717141561e-05,-0.7221986961282206
2018-04-27,78.63099670410156,78.63099670410156,0.29639637442578953,78.631,78.631,0.29637963852923993,1.673589654960228e-05,-0.6965026030245014
2018-04-30,78.30650329589844,78.30650329589844,0.29517320959578736,78.3065,78.3065,0.29515651796988374,1.6691625903619833e-05,-0.6985346923128437
2018-05-01,79.11299896240234,79.11299896240234,0.2982132625209895,79.113,79.113,0.29819641544637304,1.6847074616466173e-05,-0.6913993624062752
2018-05-02,78.48400115966797,78.48400115966797,0.29584228064276374,78.484,78.484,0.29582555926198145,1.6721380782291906e-05,-0.6971688985936959
